id,GALAXY,QSO,REDDEN_STD,ROSAT_D,SERENDIPITY_BLUE,SERENDIPITY_DISTANT,SERENDIPITY_FIRST,SERENDIPITY_MANUAL,SERENDIPITY_RED,SKY,SPECTROPHOTO_STD,STAR_BHB,STAR_BROWN_DWARF,STAR_CARBON,STAR_CATY_VAR,STAR_PN,STAR_RED_DWARF,STAR_SUB_DWARF,STAR_WHITE_DWARF
199991,0.004427024184717672,0.01050480490108735,1.1312860545146353e-05,0.014341810584177174,0.0002856697833134505,0.00037644392514923696,0.0030689027175998785,0.0006778509002599608,0.037520833791754506,6.68454425467583e-07,0.0,1.0006933181392523e-05,0.0020883785619991557,0.0003118048841997153,4.3071320829977956e-05,0.0,0.925386945715281,0.0009434309576707738,1.0395238082714693e-06
199992,0.020204020169842386,0.440814307345071,6.827850454855938e-06,0.17539623605970367,0.01958995057806521,0.0061093408858600776,0.32149190778241754,0.0008738865479182424,0.003470839386925963,0.00012275829555226722,3.571058108428885e-06,0.0012552314835470183,0.00041360590167378907,0.0014646337292514278,0.0,9.38838480469265e-05,0.00822213538019588,9.939012463736678e-06,0.0004569246849020985
199993,0.9357919398633477,0.012382921467707244,0.002399919612722961,0.009800022889428611,0.00014794942043521288,1.1112292044267512e-05,0.003549373767987065,6.257266581205211e-05,1.3150960275840388e-05,3.9653653368670263e-07,7.217856724803631e-06,0.00027921799208432117,3.177103666564916e-05,0.027378091667614964,0.0026906426241103945,1.1343746793075016e-06,0.0009568453655562733,0.002763090326720274,0.0017326292795498206
199994,0.0004772867064391029,0.16956375835963725,2.1626709244245618e-06,0.02998554889778927,0.6973898971605208,0.06095516053655727,0.034800423175616824,0.00040161380554135095,5.988311273003934e-05,6.6585037504583195e-06,0.0,0.001656329689768049,5.422145151695648e-06,7.972568170063477e-06,0.002807778904319774,0.00015824832514205032,2.255023605204632e-05,0.0,0.0016993052018898966
199995,0.004340137522824609,0.010364538843565821,1.1043536548378241e-05,0.014215011556529083,0.0002827591561974258,0.000363645647666911,0.0031107891582756782,0.0006612581760785829,0.0375575594894167,1.1680577703100924e-06,0.0,9.41613928672627e-06,0.0020940633150365374,0.0002836530657369097,1.4214317304282256e-05,0.0,0.9261641352695525,0.0005258298984230496,7.768497867321995e-07
199996,0.011776538408813535,0.04808685183422036,0.7435967828281134,0.024650854568509503,0.004110280465838692,0.004370154041594173,0.0002504328601880069,2.086025348619367e-05,1.5713319438408823e-06,0.0,0.0032684889814864233,0.15334655694936053,1.456818870741598e-06,0.0006906282162827948,0.0016862453176680816,2.512539400428701e-06,1.192412645265127e-05,4.6064923349958865e-06,0.00412325396543631
199997,0.0004957631311399947,0.09368513147983275,4.877450967222771e-07,0.015910465558337705,0.6423381502802676,0.2187128045729308,0.01565637258348576,0.000970170788311691,1.6397965362762224e-05,7.0076982572240264e-06,0.0,0.0006740964214652431,6.992275973588768e-07,2.6222398405542058e-06,0.0010319474822445209,0.0002683768351383814,4.120654901030439e-06,0.0,0.010225385335789454
199998,0.005914015934891039,0.013483100131650268,0.007971000046123842,0.01618529087106322,0.002527925466288583,0.008666378529573096,4.982919908017305e-05,0.00011593879310904689,1.2544928064898901e-05,0.0,0.806479937957209,0.13418765354348094,0.0,0.000791174278878117,0.0005069158575553815,0.0,5.313428007947272e-06,1.10791769240489e-06,0.003101873117331135
199999,0.9785557967033457,0.009089078365673981,0.0003267659433614246,0.0040639145439006945,7.248087294133045e-05,8.017624266947588e-06,0.0028658497617075284,1.9056306954090674e-05,7.576780822723961e-06,4.1769349651225926e-08,1.1636737007336477e-05,0.0001278525630456481,7.67032290622759e-06,0.003287392662238438,0.000966699596197617,2.5627206039794347e-06,0.00012504183956138992,0.00010492904395055603,0.00035763584216457855
200000,0.0008218437416218539,0.18639626794436248,4.824595119491335e-06,0.04098990229303314,0.6714116282549534,0.026685953892537025,0.04596382120376586,0.00039022369869085965,9.37801630649456e-05,8.944543828264758e-08,2.626740215392698e-07,0.017183045956831036,7.1336281242185884e-06,0.00012164116421034813,0.00548651006019406,9.241651392178783e-05,4.7822091432581474e-05,2.0267531414673692e-07,0.0043026300033631336
